BLOCK,DURANTION,MODES,OBS1,OBS2,OBS3,OBS4,OBS5
QSDC_1,364,5,QS1,QS2,QS4a,QS4b,QS8
QSDC_2,287,3,QS6,QS3,QS5a,,
QSDC_3,263.8,2,QS5b,QS7c,QS7b,QS7c,
CLV_1,167,2,CLV1,CLV4,,,
CLV_2,109,3,CLV5,CLV2,CLV3,,
POLE_1,175,3,PL1,PL4,PL5,,
POLE_2,72,2,PL2,PL3,,,
FLARE_1,720,1,Flare1,,,,
SUNPOT_1,250,4,SP1,SP2,SP4a,SP4b,
SUNPOT_2,192,2,SP3,SP8,SP9,,
SUNPOT_3,167,2,SP7a,SP7b,,,
SUNPOT_4,11.9,1,SP6,,,,
EWL_1,120,3,EW1,EW2,EW3,,
CH_1,140,3,CH1,CH2,CH3,,
FS_1,336,1,FS1,,,,
FS_2,336,1,FS2,,,,
AR_1,231,2,AR1,AR2,,,
AR_2,157,3,AR5a,AR5b,AR3,,
AR_3,110,3,AR4c,AR4b,AR4a,,
AR_4,84,3,AR6a,AR6b,AR6c,,
AR_5,37,1,AR7,,,,
CALIB_0,360,1,CAL0,,,,
CALIB_1,30,1,CAL1,,,,
CALIB_2,5,1,CAL2,,,,